0x00E0;0xFFFF;0;CLS
0x00EE;0xFFFF;0;RET
0x1NNN;0xF000;1;0x0FFF;JP $
0x2NNN;0xF000;1;0x0FFF;CALL $
0x3XKK;0xF000;2;0x0F00;0x00FF;SE V$, $
0x4XKK;0xF000;2;0x0F00;0x00FF;SNE V$, $
0x5XY0;0xF00F;2;0x0F00;0x00F0;SE V$, V$
0x6XKK;0xF000;2;0x0F00;0x00FF;LD V$, $
0x7XKK;0xF000;2;0x0F00;0x00FF;ADD V$, $
0x8XY0;0xF00F;2;0x0F00;0x00F0;LD V$, V$
0x8XY1;0xF00F;2;0x0F00;0x00F0;OR V$, V$
0x8XY2;0xF00F;2;0x0F00;0x00F0;AND V$, V$
0x8XY3;0xF00F;2;0x0F00;0x00F0;XOR V$, V$
0x8XY4;0xF00F;2;0x0F00;0x00F0;ADD V$, V$
0x8XY5;0xF00F;2;0x0F00;0x00F0;SUB V$, V$
0x8XY6;0xF00F;2;0x0F00;0x00F0;SHR V$
0x8XY7;0xF00F;2;0x0F00;0x00F0;SUBN V$, V$
0x8XYE;0xF00F;2;0x0F00;0x00F0;SHL V$
0x9XY0;0xF00F;2;0x0F00;0x00F0;SNE V$, V$
0xANNN;0xF000;1;0x0FFF;LD I, $
0xBNNN;0xF000;1;0x0FFF;JP V0, $
0xCXKK;0xF000;2;0x0F00;0x00FF;RND V$, $
0xDXYN;0xF000;3;0x0F00;0x00F0;0x000F;DRW V$, V$, $
0xEX9E;0xF0FF;1;0x0F00;SKP V$
0xEXA1;0xF0FF;1;0x0F00;SKNP V$
0xFX07;0xF0FF;1;0x0F00;LD V$, DT
0xFX0A;0xF0FF;1;0x0F00;LD V$, K
0xFX15;0xF0FF;1;0x0F00;LD DT, V$
0xFX18;0xF0FF;1;0x0F00;LD ST, V$
0xFX1E;0xF0FF;1;0x0F00;ADD I, V$
0xFX29;0xF0FF;1;0x0F00;LD F, V$
0xFX33;0xF0FF;1;0x0F00;LD B, V$
0xFX55;0xF0FF;1;0x0F00;LD [I], V$
0xFX65;0xF0FF;1;0x0F00;LD V$, [I]
